product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Céréales All Bran Kellogg's Fibre Plus,Kellogg's,c,Belgique,18.0,27.0,0.95,0.7,334.0
Granola Chocolat,Bjorg,c,Belgium,12.0,7.5,0.01,3.1,420.0
Cheerios Multigrain,Cheerios Multigrain,c,Spain,17.6666666666667,9.66666666666667,0.783333333333333,1.0,376.666666666667
Corn Flakes,Kellogg's,d,Itália,8.0,3.0,1.1,0.2,378.0
Grape-Nuts,Post,b,France,8.9,12.0,1.0,0.3,362.0
Crousti' Avoine Chocolat,Bjorg,c,France,14.0,9.5,0.1,4.4,416.0
Premium Fruit & Nut Muesli,Lidl,c,France,24.6,6.4,0.04,4.6,394.0
Nutty Granola,Dorset Cereals,b,en:United Kingdom,13.1111111111111,6.22222222222222,5.55555555555556e-05,2.0,442.222222222222
oat granola,dorset cereals,c,en:United Kingdom,16.5,5.0,0.03,1.7,442.0
Special K,Kellogg's,c,United Kingdom,15.0,6.0,0.825,0.3,392.0
Fiocchi di avena integrali,Crownfield,a,Bélgica,0.75,10.0,0.02,1.25,372.5
Muesli bio chocolat noir,Jordans,c,Belgien,8.9,4.1,0.03,3.1,398.0
Copos de trigo espelta integral 0%,Hacendado,a,Portugal,1.9,8.8,0.78,0.2,364.0
Nesquik Cereal,Nesquik,unknown,Jordan,22.4,,0.45,0.9,373.0
No Added Sugar Muesli imp,Alpen,a,France,16.0,8.3,0.275,0.405,369.0
Jemné ovesné vločky,Crownfield,a,Bugarska,0.7,8.5,0.0,1.0,372.0
Wheat Biscuits malty & crispy,Tesco,a,France,4.4,10.0,0.3,0.6,358.0
Céréales Miel Pops,Kellogg's,c,Belgium,22.0,4.6,0.4,0.1,384.0
Muesli Frutas,Hacendado,c,Portugal,15.0,10.0,0.08,3.9,361.0
Granola chocolate / pieces of chocolate,Sante,d,Armenia,22.0,6.7,0.61,3.3,456.0
"Muesli con quinoa, chía y chocolate negro",Hacendado,c,Spain,18.0,10.0,0.11,4.3,416.0
Tresor - Choco Nut,Kellogg's,d,Austria,26.0,3.7,0.94,3.8,453.0
Low Sugar Granola Original,Crownfield,a,Ireland,3.11111111111111,7.55555555555556,0.02,3.33333333333333,522.222222222222
Céréales Extra Pépites Chocolat Noisettes,Kellogg's,e,Belgium,21.0,5.8,0.68,12.0,497.0
Flocons d'avoine,Bjorg,a,France,0.0,11.0,0.0833333333333333,1.0,363.333333333333
shredded wheat,Nestlé,a,en:gb,0.7,12.5,0.05,0.5,367.0
Muesli Bio Superfruits,Jordans,a,France,10.2,9.4,0.03,1.0,360.0
Jumbo Rolled Oats,Quaker,a,United Kingdom,1.0,9.0,0.0,1.5,375.0
Croustillant 3 noix,Bjorg,b,France,14.0,9.9,0.02,2.1,441.0
"Muesli 35 fruits, noix et graines",Carrefour BIO,b,France,17.0,8.9,0.02,2.8,380.0
Flocons d'avoine,Carrefour BIO,a,Belgium,0.7,10.0,0.01,1.3,372.0
Avena Crunchy Cacao,Hacendado,a,Portugal,9.0,11.0,0.18,1.6,393.0
Muesli croustillant 3 noix,Bio Village,b,France,17.0,7.6,0.01,1.8,446.0
Nestle fitness protein cocoa 0% added sugar,Fitness,a,Belgium,0.8,12.4,0.89,1.4,351.0
"Flocons d'avoine, paquet 500g",U,a,France,1.2,11.0,0.01,0.6,364.0
Céréales Granola Noix & Graines 350G,U,a,France,13.0,7.7,0.01,2.0,454.0
Coco Pop’s Chocos,Kellogg's,c,France,22.0,6.0,0.00166666666666667,1.0,380.0
Muesli 4 nuts,Crownfield,c,Belgium,18.1,8.1,0.08,4.9,454.0
Céréales Special K Kellogg's Nature,Kellogg's,c,France,15.0,4.5,1.0,0.3,393.333333333333
Quaker Cruesli Chocolat noisette,Cruesli,c,France,16.0,10.0,0.0,2.5,446.0
Croustillant Nature,Carrefour BIO,b,France,16.0,8.1,0.01,1.4,447.0
kelloggs corn flakes,Kelloggs,d,Ireland,8.0,3.0,1.1,0.2,378.0
Cereal mix 0% azúcares añadidos,Hacendado,c,France,17.1,5.6,0.0,0.7,372.0
Muesli 50% frutas y frutos secos,Hacendado,c,France,26.0,7.8,0.11,5.1,367.0
Smacks,Kellogg's,d,Bélgica,34.0,5.0,0.02,0.3,377.0
Céréales Frosties,Kellogg's,d,France,37.0,2.0,0.83,0.1,375.0
Muesli crisp 4 noix,Chabrior,c,Belgium,18.0,7.4,0.03,2.8,474.8
Copos de trigo integral y arroz 0% azúcares añadidos,Hacendado,a,Portugal,0.666666666666667,4.66666666666667,0.6,0.166666666666667,373.0
Croustillant tout chocolat,Carrefour BIO,d,Francia,20.0,8.4,0.02,6.1,447.0
Le Granola Chocolat,funkie,b,France,5.3,2.5,0.02,0.6,122.0
Frosties,Kellogg's,d,France,37.0,2.0,0.83,0.1,375.0
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,e,Belgique,26.0,3.5,1.1,3.5,456.666666666667
Granola Super Nutty,Bio&Me,a,United Kingdom,9.6,14.4,0.03,2.2,402.0
Muesli avoine chocolat,Bjorg,c,France,9.1,9.5,0.08,4.2,399.0
Céréales cœur fondant,Carrefour BIO,d,Belgique,29.0,7.2,0.38,2.7,419.0
Flocons d'Avoine,Bio Village,a,France,0.7,10.0,0.02,1.3,372.0
simply nutty muesli,dorset cereals,a,United Kingdom,14.2,8.6,0.03,1.1,376.0
Muesli Crunchy chocolat noir et noisettes grillées,Crownfield,d,France,21.4,6.9,0.62,4.3,471.0
KitKat Cereal,Nestlé,d,Austria,24.7,6.4,0.37,4.0,420.0
Special k,SPECIAL K,c,Belgium,16.0,6.6,0.73,0.3,390.0
Crousti' Avoine Nature,Bjorg,a,France,13.0,9.4,0.1,2.1,417.0
Muesli bio noix & graines,Jordans,a,France,6.3,8.7,0.03,2.3,427.0
Croustillant chocolat,Carrefour BIO,c,France,15.0,8.7,0.0,4.4,449.0
Wheat Bisks,Harvest Morn,a,Ireland,4.4,10.0,0.28,0.6,358.0
Bran Flakes,Crownfield,b,Bélgica,13.2,17.2,0.63,0.5,362.0
Céréales Muesli croustillant aux 4 noix paquet de 500g,U,c,Frankrijk,14.0,6.5,0.48,2.9,478.0
Croustillant fruits rouges,Carrefour BIO,c,Belgium,19.0,9.2,0.01,1.4,426.0
Muesli crunchy frutos secos,Hacendado,d,Spain,22.0,6.0,0.5,2.0,458.0
Muesli crunchy,Maison Pâtissière,d,France,22.0,6.4,0.14,5.5,457.0
Special Flakes Red Berries,Crownfield,b,Belgique,11.5,6.5,0.37,0.7,382.0
Corn Flakes,Kellogg's,d,Cyprus,8.0,3.0,1.1,0.2,378.0
Muesli croustillant Noix et Miel,Crownfield,c,Frankrijk,,,,,470.0
Cereales rellenos de leche,Hacendado,e,Spain,37.0,3.3,0.78,6.5,447.0
Grainéa granola noix,Grainéa,a,France,8.4,8.9,0.02,2.3,486.666666666667
Muesli croustillant tout chocolat,Marque Repère,unknown,France,20.0,8.7,,6.0,444.0
weetabix,Weetabix,a,France,4.10256,9.74359,0.25,0.51282,332.5
Muesli croustillant fruits rouges,Terres et Céréales,c,France,20.0,8.9,0.06,3.1,437.0
Corn flakes,Carrefour BIO,c,Belgium,2.0,2.7,0.45,0.2,384.0
Muesli Recipe,Alpen,b,United Kingdom,18.0,8.0,0.28,0.9,368.888888888889
Muesli fruits,Carrefour BIO,a,Belgium,13.0,9.9,0.02,1.0,366.0
Kellogg's Tresor,Kellogg's,e,France,26.0,3.5,1.1,3.5,437.0
Barre Chocolat Banane,Break & Boost,d,en:france,30.0,3.4,0.275,5.4,406.0
Flocons d'avoine complets,Terres & Céréales Bio,a,France,1.0,10.0,0.01,1.3,371.0
Country Crisp chocolat au lait,Jordans,d,France,24.4444444444444,5.11111111111111,0.0444444444444444,4.22222222222222,448.888888888889
special k fibre,Kellogg's,c,Italy,18.0,13.0,0.64,1.0,394.0
Crousti' Avoine Superfruits,Bjorg,b,France,13.0,10.0,0.1,2.1,418.0
Jemné ovesné vločky,Crownfield,a,Bugarska,0.7,8.5,0.0,1.0,372.0
Muesli croustillant chocolat,Terres & Céréales Bio,c,France,21.0,8.5,0.07,4.6,437.0
Muesli bio croustillant 3 chocolats,Charles Vignon,c,Frankreich,18.0,8.1,0.02,5.5,474.0
Crunchy Muesli Multi Fruit,Crownfield,d,Belgium,24.1,7.6,0.245,7.0,435.0
Muesli Frutas,Hacendado,c,Portugal,15.0,10.0,0.08,3.9,364.444444444444
Muesli Crunchy 4 noix,muesly,c,France,18.0,6.1,0.06,1.8,458.0
"GRANOLA LOW SUGAR, NATURALLY",Bio&Me,a,en:gb,7.9,17.0,0.06,3.7,412.0
Céréales Corn flakes 375g,U,a,France,0.7,3.2,0.13,0.2,388.0
NESTLE NESQUIK Céréales 675g,Nestlé,b,France,22.1,9.3,0.2,0.7,378.0
Funky Veggie - Les PAF,Funky Veggie,a,France,19.0,8.5,0.01,0.8,366.0
Muesli croustillant 7 fruits,T&C Terres & Céréales BIO,d,France,24.0,6.7,0.0,4.4,436.0
"Muesli noisettes, raisins, seigle complet, blé sans sucres ajoutés",T&C Bio,a,France,10.0,12.0,0.02,0.7,369.0
Muesli Crunchy Fruits Rouges,Crownfield,c,Finland,18.4,7.5,0.7,2.6,453.0
Le croustillant chocolat noir & fruits rouges,Bjorg,c,France,14.0,10.0,0.5,3.1,434.0
Country Crisp Fruits & Noix,Jordans,c,France,22.0,6.1,0.05,1.9,443.0
Grainéa,Marque Repère,c,en:fr,13.0,5.5,0.76,0.5,381.0
Corn flakes,Bio Village,c,France,1.9,3.4,0.85,0.2,384.0822179127
Muesli Crunchy Chocolate,Hacendado,d,Portugal,24.0,6.0,0.43,4.5,434.0
Choco crousti,Poulain,c,France,16.0,11.0,0.08,2.6,430.0
Crok'fondant chocolat noisettes,Terres et Céréales Bio,d,France,26.0,7.5,0.81,2.3,417.0
LION BIO Céréales - Boite de 400g,Nestlé,c,Belgium,25.0,8.0,0.48,1.2,409.0
Quaker white oats,Quaker,a,Côte d'Ivoire,1.1,9.0,0.0,1.5,375.0
Lizis high protein granola nuts and seeds,Lizi's,c,Frankreich,12.0,6.8,0.61,3.2,442.0
Muesli fruits secs amandes & noisettes,U BIO,a,France,15.0,11.0,0.03,0.7,353.0
Muesli croustillant - duo de chocolats,Joseph Favrichon,d,Belgium,20.0,8.2,0.02,6.1,476.0
Muesli croustillant,FAVRICHON,c,Belgium,17.0,7.4,0.01,2.1,456.0
Organic Jumbo Oats,Flahavan's,a,Royaume-Uni,1.0,8.25,0.0125,0.5,370.0
Forme & nature 440g,Chabrior,c,France,13.0,4.8,0.77,0.4,385.2
Country crisp miel & noix,Jordans,c,France,21.8,5.5,0.03,2.0,455.0
Special K Granola con avena Dark chocolate,Kellogs,c,Italia,13.0,9.5,0.01,4.0,468.888888888889
Swiss Style Muesli,Alpen,b,Belgium,18.0,8.0,0.261111111111111,0.888888888888889,368.888888888889
BRITISH PORRIDGE OATS,QUAKER,a,Spain,1.0,9.0,0.0,1.5,375.0
Muesli Croustillant Chocolat Protéines,TERRES & CÉRÉALES BIO,a,France,14.0,9.8,0.02,2.2,419.0
wholegrain wheat bixies,Crownfield,a,Ireland,3.0,9.5,0.000575,0.5,362.0
Muesli simplement bienveillant,J FAVRICHON,a,France,12.0,12.0,0.02,1.5,407.0
ancient grains probiotic granola,Kirkland Signature Nature's Path Organic,c,Canada,17.9245283018868,11.3207547169811,0.566037735849057,2.35849056603774,454.545454545455
Bitesize Shredded Wheat,Nestlé,a,United Kingdom,0.7,12.5,0.05,0.5,362.5
Muesli de superfrutas sin azúcares añadidos,Carrefour BIO,a,France,13.0,9.0,0.02,0.7,350.0
Cheerios Aveia,Nestlé,a,Portugal,9.1,10.4,0.71,1.0,383.0
Céréales Extra Pepites Kellogg's Choco Noisettes,Kellogg's,e,France,21.0,5.8,0.63,12.0,497.0
Flocons d'avoine complète BIO 500g,Chabrior,a,France,,,,,
Био овесени ядки,Crownfield,a,Bułgaria,1.2,12.3,0.01,1.0,365.0
Quaker Cruesli Chocolat au lait maxi format,Cruesli,d,France,20.0,8.7,0.51,4.8,457.0
Grainéa Muesli pépites croustillantes chocolat noir,Grainéa,c,France,22.0,8.3,0.13,4.1,446.666666666667
Weetabix Crispy Minis Chocolate Chip,Weetabix,b,United Kingdom,17.0,10.0,0.0005,2.25,385.0
Nutty Granola,Dorset Cereals,b,en:United Kingdom,13.1111111111111,6.22222222222222,5.55555555555556e-05,2.0,442.222222222222
Croustillant fibres,Bjorg,b,fr,15.0,11.0,0.08,1.8,406.0
Muesli Crunchy 0%,Crownfield,a,Portugal,0.9,8.1,2.5e-05,1.7,423.0
Quaker Cruesli 3 chocolats,Cruesli,d,France,18.0,9.1,0.53,4.3,454.0
Weetabix Original,Weetabix,a,France,4.2,10.0,0.28,0.6,394.666666666667
"Céréales Muesli chocolat & amandes, 400g",U,a,Frankrijk,6.8,8.5,0.01,2.8,449.0
Croustillant fruits et noix,Bjorg,b,France,4.2,18.0,0.2,4.6,451.0
Chocolat,J FAVRICHON,c,France,17.0,7.5,0.01,4.8,469.0
Malt Wheats Toasty Crunch,Tesco,a,France,10.0,11.0,0.26875,0.25,370.0
Muesli Crunchy Fruta,Hacendado,d,Spain,27.0,6.0,0.5,5.0,427.0
Muesli 6 frutas,Carrefour BIO,d,France,24.0,6.2,0.02,4.8,444.0
High Protein Crunchy Muesli Roasted Peanuts,Crownfield,b,Belgium,13.4,4.7,0.1575,2.5,455.7839387427
Shredded wheat,Nestle,a,France,0.7,12.2,0.05,0.5,357.777777777778
croustillant chocolat au lait,Bjorg,c,France,14.0,9.2,0.48,4.0,445.0
Croustillant nature ssa,Bjorg,b,fr,1.5,19.0,0.20669,4.6,443.0
Muesli protéiné soja & fruits,Favrichon,a,France,13.0,7.2,0.09,0.7,375.555555555556
Corn flakes,Carrefour,c,Belgium,7.2,2.5,0.8,0.2,383.0
Le Granola Cacahuètes,Funky Veggie,a,France,13.3333333333333,9.33333333333333,0.0666666666666667,2.33333333333333,430.0
Céréales Muesli croustillant chocolat noir paquet 500g,U,c,France,21.0,8.4,0.13,4.4,448.0
Flocons d avoine,javana,a,Morocco,1.3,9.1,0.02,1.42,378.0
Flocons d'avoine,GRAINÉA,a,en:fr,1.1,10.0,0.01,1.3,365.0
Special Flakes Chocolate Noir,Crownfield,c,Belgique,13.7,8.4,0.45,2.9,401.0
Chargement…,Joseph Favrichon,c,France,22.222222222222,7.5,0.02222225,1.5555555290646,424.44444444444
Granola,FUEL,c,France,17.5,6.4,7.5e-05,2.8,441.0
Krounchy proteines chocolat noir,grillon d'or,a,France,14.0,9.5,0.02,2.2,415.0
Extra chocolate y avellanas,Kellogg's,e,Francia,24.0,6.0,0.75,9.5,484.0
Granola fruit strawberry cranberry cherry,Sante,c,France,18.182,7.273,0.5,1.818,448.0
Quaker Cruesli Frutta Secca,Quaker,b,Italy,12.0,10.0,0.01,2.0,462.0
Tchico xxl,,d,en:ma,27.0,5.0,1.4,0.0,427.0
Muesli crisp 5 Fruit,Chabrior,d,Belgium,21.4,7.4,0.17,6.4,426.0
Special K Chocolat au Lait,Kellogg's,d,Belgique,21.0,5.3,0.67,2.5,410.0
NESTLE LION céréales 675g​,Nestlé,c,Belgium,24.5,7.0,0.4,1.1,406.0
muesli croustillant Framboise & chocolat,favrichon,d,France,19.0,11.0,0.01,7.2,465.0
Muesli Croustillant Nature,Favrichon,c,Belgique,19.0,6.9,0.16,2.4,453.0
Country Crisp Chocolat Noir,Jordans,a,France,,,,,
Bran Flakes Malty Crunch,Tesco,a,France,10.2,15.7,0.59,0.5,352.0
Céréales Muesli croustillant fruits rouges sachet 350g,U,c,France,21.0,7.9,0.15,1.3,385.0
Céréales Trésor Kellogg's Chocolat Lait - 1kg,Kellogg's,e,Belgique,29.0,3.2,0.95,4.8,441.0
Céréales Extra Pepites Kellogg's Chocolat au lait,Kellogg's,e,France,25.0,4.9,0.68,10.0,484.0
Lion cereal with caramel and chocolate,Nestlé,d,Algérie,24.5,7.0,0.48,1.1,405.0
Trix,Nestlé,c,Bulgaria,22.4,5.5,0.06,0.7,391.0
nesquick,Nestlé,d,France,24.0,7.33333333333333,1.08333333333333,0.666666666666667,380.0
Granola Coconut Cashew & Almond,Crownfield,c,United Kingdom,15.5,7.6,0.05,2.2,960.0
Chocodays,Hacendado,c,Spain,25.0,7.6,0.27,1.6,372.0
Crunchy Oats 'n Honey Granola Bars,Nature Valley,d,France,26.1904761904762,4.76190476190476,0.833333333333333,2.38095238095238,452.380952380952
Copos tostados de trigo integral y arroz con chocolate,Hacendado,c,Portugal,20.0,9.1,0.29,3.9,397.0
Corn flakes sans sucres ajoutés,Terres et Céréales bio,b,Belgique,0.5,3.1,0.01,0.1,387.0
Flocons d'avoine,Auchan,a,France,0.7,10.0,0.02,1.3,372.0
Cruesli Chocolate,PepsiCo,c,France,16.3,10.0,0.4725,4.9,455.0
Organic Jumbo Porridge Oats,Kavanagh's,a,España,0.25,9.75,5e-05,1.0,360.0
Muesli,Leclerc,c,France,24.0,7.5,0.125,3.9,439.0
"Céréales Pétales de blé chocolat bio, sachet 375g",U,a,France,19.0,8.5,0.01,0.8,366.0
Croustillant 3 noix,Carrefour BIO,b,France,17.0,6.6,0.03,1.9,455.0
Muesli floconneux,Bio Village,a,en:fr,14.0,9.2,0.01,1.0,359.0
Oatflakes,Santé,a,France,0.9,6.9,0.0,1.3,375.0
Choco crisp chocolat,Grillon d'or,c,France,18.0,5.2,0.02,1.5,377.0
Crunchy Chocolat noir intense,Carrefour,c,Belgique,19.0,9.0,0.1,3.8,441.0
Special K dark chocolate,Special K,d,Spain,17.0,6.0,1.58333333333333,3.33333333333333,423.333333333333
Oreo O's,OREO,d,France,27.0,3.9,0.56,0.8,382.0
Flocons d'avoine SANS GLUTEN - 500g,Grillon d'or,a,France,0.9,10.0,0.0,1.3,375.0
Shreddies,Nestle,b,en:gb,13.0,12.0,0.72,0.3,364.0
Miel pops loops,Kellogg's,c,France,22.0,7.5,0.64,0.7,396.0
Granola Honey and Seed,Lidl,d,Irlande,17.3333333333333,5.55555555555556,0.622222222222222,2.66666666666667,435.555555555556
Alpen Original Muesli,Weetabix,c,Ireland,21.0,7.7,0.25,0.9,374.0
Kölln Haferflocken Blütenzarte Haferflocken Je 500-g-Packung 100 % Vollkorn-Hafer 0.99€ 2024 500g 1.19€ 1kg 2.38€,Kölln,a,Deutschland,1.2,27.5,0.0,3.25,363.288718929254
Simply Fruity muesli,Dorset cereals,b,United Kingdom,20.0,7.33333333333333,0.0444444444444444,0.666666666666667,348.888888888889
Soja et chocolat Protéiné,Favrichon,c,Belgium,7.2,9.6,0.13,3.4,409.0
Pumpkin Seed + Flax Granola,Nature's Path Organic,c,France,18.1818181818182,7.27272727272727,0.204545454545455,2.72727272727273,472.727272727273
Muesli coustillant,Crownfield,d,France,21.9,7.7,0.65,6.5,451.0
Crosti Griffs choco,Favrichon,b,France,17.0,8.3,0.17,2.2,385.0
Wheat Biscuits,Tesco,a,France,4.4,10.0,0.3,0.6,357.894736842105
Protein granola,Bio&me,a,United Kingdom,12.3333333333333,19.0,0.1625,1.66666666666667,403.0
LOW SUGAR Granola ORIGINAL,CROWNFIELD,a,Ireland,3.11111111111111,7.55555555555556,0.02,3.33333333333333,522.222222222222
Muesli croustillant avoine blé et riz,Favrichon,b,en:fr,15.0,7.6,0.01,1.1,422.0
"Croustillant Avoine, Blé & Riz",Favrichon,c,France,18.0,7.6,0.01,1.3,420.0
Muesli,Alpen,b,United Kingdom,18.0,8.0,0.275,0.9,368.888888888889
Krounchy nature,Grillon d'Or,c,Belgium,20.0,6.3,0.05,1.7,440.0
Fibra,Carrefour,c,Belgium,20.0,8.9,0.41,3.6,356.0
granola,Marque Repère,c,France,14.0,8.9,0.01,4.5,464.0
Muesli croustillant chocolat,Bio Village,c,France,15.0,7.3,0.04,4.1,445.0
Krounchy sans gluten amande,Grillon D'or,c,France,18.0,6.2,0.04,1.8,446.0
Granola fruits rouges,U,b,France,17.0,7.4,0.01,1.3,421.0
oat granola,dorset cereals,c,en:United Kingdom,16.5,5.0,0.03,1.7,442.0
Muesly croustillant cruchy chocolat noir intense,Carrefour,c,France,19.0,9.0,0.1,3.8,441.0
Weetabix,Weetabix,a,France,4.2,10.0,0.28,0.6,272.0
Bran Flakes,Kellogg's,b,France,14.0,17.0,0.66,0.4,366.666666666667
Gloriously nutty muesli,dorset cereals,a,France,8.4,8.1,0.03,2.0,415.0
Crok' fondant noisettes,Terres & céréales Bio,c,France,17.0,9.3,0.12,2.2,437.0
Nutty Granola,deliciously ella,c,Ireland,16.0,8.2,0.22,2.6,462.222222222222
Müesli crunchy,Crownfield,d,France,26.9,6.4,0.33,4.9,459.0
Rice Krispies,Kellogg's,c,United Kingdom,8.0,3.0,0.9825,0.333333333333333,338.591459528361
Lizis low sugar granola nuts and seeds,,a,en:United Kingdom,3.4,8.0,0.02,3.6,493.0
All-Bran Fibre Plus,Kellogg's,c,en:france,15.0,26.0,0.9,0.5,313.0
